"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1702361160000,0.05353,0.05355,0.05353,0.05355,119.25,6.385,"direct","",1702361160,"2023-12-12"
1702361220000,0.05354,0.05355,0.05353,0.05353,63.94,3.423,"direct","",1702361220,"2023-12-12"
1702361280000,0.05355,0.05356,0.05354,0.05354,29.9,1.601,"direct","",1702361280,"2023-12-12"
1702361340000,0.05356,0.05356,0.05355,0.05355,26.04,1.395,"direct","",1702361340,"2023-12-12"
1702361400000,0.05358,0.05358,0.05355,0.05356,49.81,2.669,"direct","",1702361400,"2023-12-12"
1702361460000,0.05356,0.05358,0.05356,0.05358,29.09,1.558,"direct","",1702361460,"2023-12-12"
1702361520000,0.05356,0.05356,0.05356,0.05356,19.58,1.049,"direct","",1702361520,"2023-12-12"
1702361580000,0.05355,0.05356,0.05355,0.05356,15.76,0.8441,"direct","",1702361580,"2023-12-12"
1702361640000,0.05355,0.05355,0.05354,0.05355,6.741,0.3609,"direct","",1702361640,"2023-12-12"
1702361700000,0.05353,0.05355,0.05353,0.05355,17.16,0.9188,"direct","",1702361700,"2023-12-12"
1702361760000,0.05353,0.05353,0.05353,0.05353,7.663,0.4102,"direct","",1702361760,"2023-12-12"
1702361820000,0.05352,0.05353,0.05352,0.05353,22.04,1.179,"direct","",1702361820,"2023-12-12"
1702361880000,0.05351,0.05354,0.05351,0.05352,44.83,2.399,"direct","",1702361880,"2023-12-12"
1702361940000,0.05352,0.05353,0.05351,0.05351,23.67,1.267,"direct","",1702361940,"2023-12-12"
1702362000000,0.05347,0.05352,0.05347,0.05352,193.34,10.34,"direct","",1702362000,"2023-12-12"
1702362060000,0.0535,0.05351,0.05347,0.05347,58.82,3.146,"direct","",1702362060,"2023-12-12"
1702362120000,0.0535,0.0535,0.05348,0.0535,82.37,4.406,"direct","",1702362120,"2023-12-12"
1702362180000,0.0535,0.05351,0.05348,0.0535,122.97,6.58,"direct","",1702362180,"2023-12-12"
1702362240000,0.0535,0.05351,0.0535,0.0535,41.27,2.208,"direct","",1702362240,"2023-12-12"
1702362300000,0.0535,0.0535,0.0535,0.0535,17.59,0.9409,"direct","",1702362300,"2023-12-12"
1702362360000,0.05347,0.0535,0.05347,0.0535,31.58,1.689,"direct","",1702362360,"2023-12-12"
1702362420000,0.05344,0.05347,0.05344,0.05347,79.19,4.233,"direct","",1702362420,"2023-12-12"
1702362480000,0.05345,0.05345,0.05343,0.05344,52.89,2.827,"direct","",1702362480,"2023-12-12"
1702362540000,0.05344,0.05345,0.05344,0.05345,37.42,2,"direct","",1702362540,"2023-12-12"
1702362600000,0.05345,0.05345,0.05344,0.05344,29.15,1.558,"direct","",1702362600,"2023-12-12"
1702362660000,0.05347,0.05348,0.05345,0.05345,42.5,2.273,"direct","",1702362660,"2023-12-12"
1702362720000,0.05346,0.05348,0.05346,0.05347,33.77,1.806,"direct","",1702362720,"2023-12-12"
1702362780000,0.05345,0.05346,0.05344,0.05346,46.07,2.462,"direct","",1702362780,"2023-12-12"
1702362840000,0.05343,0.05345,0.05343,0.05345,29.04,1.552,"direct","",1702362840,"2023-12-12"
1702362900000,0.05343,0.05344,0.05343,0.05343,17.82,0.9519,"direct","",1702362900,"2023-12-12"
